SRNo P0                 error_P0  rndm1    P1             error_P1  rndm2
316   1.84891880365           11  hlk+04     9.963E-16          5  hlk+04 
317   0.311673518473          11  kbm+03     1.279E-15          6  kbm+03 
318   0.121116349354          15  kbm+03     4.437E-15          8  kbm+03 
319   0.384645                 6  ebvb01                       0  
320   0.541404373627          15  mlc+01     9.778E-15          9  mlc+01 

321   0.7384                   0  bbb+12                       0  
322   0.089328385024           4  dml02      1.25008E-13       16  dml02 
323   1.2737682915785          7  hlk+04     6.799219E-15       5  hlk+04 
324                           0                              0  
325   0.751623617646           8  wmz+01     3.5393E-15        12  wmz+01 

326   0.3085806621443         20  bjd+06     0.0390E-15         3  bjd+06 
327   1.7039457055             9  mlc+01     8.1E-16           32  mlc+01 
328   0.72061236106            2  dmk+93     1.644E-15          1  dmk+93 
329   0.64435405580           12  nmc81      9.497E-15          6  nmc81 
330   1.36586                  5  bjd+06                       0  

331   0.2089556931527         14  ebvb01     1.7238E-16        14  ebvb01 
332   1.116097163402           5  hlk+04     1.60135E-15        3  hlk+04 
333   5.9774927370             7  mlk+09     119.94E-15         2  mlk+09 
334   0.4524                   0  dsm+13                       0  
335   0.367953256307           5  ebvb01     7.908E-16          5  ebvb01 

336   1.60222797387            4  hlk+04     4.463E-16          3  hlk+04 
337   1.267535702756           5  hlk+04     6.32095E-15        3  hlk+04 
338   0.0646861308252          4  kbm+03     7.26269E-15        3  kbm+03 
339   0.57507238258            4  kbm+03     1.362E-14          2  kbm+03 
340   0.9625085573             3  nmc81      1.677E-15         10  nmc81 

341   0.326774210079           2  dsb+98     2.334387E-14       5  dsb+98 
342   0.0111096493380938       6  dcl+16     4.8880E-20        11  dcl+16 
343   0.441995130786          14  mlc+01     8.7494E-14         8  mlc+01 
344   0.6603133715             2  nmc81      1.07E-16           9  nmc81 
345   0.9651709987             4  nmc81      1.887E-15         18  nmc81 

346   0.54955311909           12  nmc81      4.63E-16           6  nmc81 
347   0.9882805974             2  dsb+98     1.49E-16           3  dsb+98 
348   0.346287436779           2  dsb+98     2.489796E-14       4  dsb+98 
349   0.340854176542           8  bbb+12     0.5220E-15         3  bbb+12 
350   0.253556015011           3  smd93      1.8303E-15         2  smd93 

351   0.40162562344216        18  hlk+04     6.695000E-16      17  hlk+04 
352   0.10675459250            3  dmd+88     1.5151E-14         2  dmd+88 
353   1.3628899542             5  nmc81      3.33E-16          17  nmc81 
354   1.57905                  6  th69                         0  
355   1.526085076              3  bbb+12     3.59E-15           5  bbb+12 

356   0.8126                   0  bcm+15                       0  
357   1.2169757230             6  bbb+12     0.01E-15           2  bbb+12 
358   1.567994018480           4  hlk+04     3.60812E-15        4  hlk+04 
359   0.430627098928          17  spl13      1.37294E-14       10  spl13 
360   0.950288537028           8  mlc+01     9.7569E-14         4  mlc+01 

361   0.00968                  0  mlb+12                       0  
362                           0                              0  
363   0.74629520954           10  nmc81      3.5477E-14         5  nmc81 
364   0.73950132654            4  dmk+93     4.878E-15          2  dmk+93 
365   0.76188923605            9  bfrs18     3.05E-16           4  bfrs18 

366   2.0604                   0  dsm+13                       0  
367   2.0919                   0  ttol16                       0  
368   1.80706867799            8  kmk+18     3.362E-15          7  kmk+18 
369   0.00463802939134413      7  abb+18     3.629E-21          7  abb+18 
370   1.93162674308           19  ebvb01     2.50E-16          15  ebvb01 

371   4.3921587127             6  lfl+06     8.37E-15           8  lfl+06 
372   0.570409236430          14  ebvb01     2.69E-16           3  ebvb01 
373   1.44477320982            3  dmk+93     4.654E-15          2  dmk+93 
374   0.087545204308           4  mlc+01     3.28683E-14       10  mlc+01 
375   0.58677841838            3  bb10                         0  

376   0.65855761432            1  dsb+98     1.1379E-15         2  dsb+98 
377   0.66436748807            6  smd93      2.2854E-14         5  smd93 
378   0.808127417142          11  smd93      3.96284E-14       11  smd93 
379   1.087417728071          10  hlk+04     9.109E-17          8  hlk+04 
380   0.5329747057409          9  bfrs18     8.98312E-17       20  bfrs18 

381   2.229489                99  slr+14                       0  
382   0.5702641245619          4  hlk+04     4.5256E-17         3  hlk+04 
383   0.3315855987755         18  kbm+03     4.8291E-15         6  kbm+03 
384   1.09770570486            7  hlk+04     3.49339E-15       20  hlk+04 
385   0.85101380329            6  bfrs18     4.30E-16           3  bfrs18 

386   0.64001572416            1  bbb+12     0.6370E-15         5  bbb+12 
387   0.00141379837685         4  bph+17                       0  
388   1.3738151214             5  nmc81      5.8E-16            3  nmc81 
389   0.2530651649482          9  hlk+04     2.29758E-16        3  hlk+04 
390   0.472834279266          16  mlc+01     4.3912E-14        12  mlc+01 

391   0.86211773933            5  nmc81      3.517E-15          3  nmc81 
392   0.001999                 0  ckr+15                       0  
393   1.72370                  8  kkl+15                       0  
394   0.203556697536           6  mlc+01     1.947E-15          4  mlc+01 
395   0.67008576040           18  nmc81      8.2E-17            9  nmc81 

396   0.2556770984252         20  kbm+03     9.595E-16          6  kbm+03 
397   1.43658262920           12  smd93      5.1396E-14        12  smd93 
398   1.66117674023            4  mlc+01     8.60E-16           4  mlc+01 
399   7.7336402649             8  lfl+06     5.99E-14           3  lfl+06 
400   0.7775009067             3  mlc+01     1.57E-15          19  mlc+01 

401   0.7134892535             6  ncb+15     104E-18           10  ncb+15 
402   0.30707169975            3  nmc81      2.20737E-14       12  nmc81 
403                           0                              0  
404   0.8357974680             2  dsb+98     5.73E-16           3  dsb+98 
405                           0                              0  

406   2.51794502050            4  hlk+04     8.809E-16          4  hlk+04 
407   0.003101                 0  ckr+15                       0  
408   0.005255749014115409    14  lwj+09     1.712794E-20       9  lwj+09 
409   2.1335912144             3  kbm+03     3.765E-14          6  kbm+03 
410   0.8199114962             3  jml+95     1.7690E-14        10  jml+95 

411   0.442900630729           4  kbm+03     5.58E-16           2  kbm+03 
412   1.5088                   2  bbj+11                       0  
413   0.139881677595           4  kbm+03     5.73680E-14       12  kbm+03 
414   0.7695835272             2  nmc81      1.926E-15         10  nmc81 
415   0.0878341561432          9  mlc+01     6.980E-16          4  mlc+01 

416   0.1073864584588         15  hfs+04     8.08342E-14        6  hfs+04 
417   0.50345881546            8  nmc81      3.130E-15          4  nmc81 
418   0.00233851444011854      4  nbb+14     2.2194E-21         7  nbb+14 
